deck,playrate
Naga Demon Hunter,0.16145251396648067
Quest Hunter,0.10446927374301689
Control Warrior,0.09296089385474866
Quest Warrior,0.07251396648044704
Mech Mage,0.05363128491620113
Ramp Druid,0.05016759776536312
Amulet Mech Mage,0.04290502793296092
Mech Paladin,0.04290502793296092
Holy Paladin,0.03765363128491621
Small Spell Mage,0.035307262569832375
Pirate Rogue,0.03217877094972072
Curse Warlock,0.03173184357541897
Shellfish Priest,0.025810055865921725
Burn Shaman,0.021452513966480413
Dragon Paladin,0.019106145251396676
Boar Priest,0.018100558659217884
Thief Rogue,0.017988826815642397
Beast Hunter,0.014636871508379872
Anacondra Druid,0.012513966480446908
Beast Druid,0.01195530726256977
Murloc Warlock,0.011396648044692731
Face Hunter,0.01094972067039098
Other Mage,0.010837988826815593
Other Priest,0.010726256983240206
Quest Priest,0.010726256983240206
Ping Mage,0.01050279329608933
Control Priest,0.009944134078212295
Fel Demon Hunter,0.008938547486033505
Quest Druid,0.00826815642458098
Token Demon Hunter,0.00826815642458098
