deck1,Naga Demon Hunter,Quest Hunter,Control Warrior,Quest Warrior,Mech Mage,Ramp Druid,Amulet Mech Mage,Mech Paladin,Holy Paladin,Small Spell Mage,Pirate Rogue,Curse Warlock,Shellfish Priest,Burn Shaman,Dragon Paladin,Boar Priest,Thief Rogue,Beast Hunter,Anacondra Druid,Beast Druid,Murloc Warlock,Face Hunter,Other Mage,Other Priest,Quest Priest,Ping Mage,Control Priest,Fel Demon Hunter,Quest Druid,Token Demon Hunter
Naga Demon Hunter,50.0,54.29,35.84,65.05,61.57,66.98,63.65,65.78,43.55,62.72,74.99,62.15,64.78,50.97,49.27,69.41,72.15,58.5,69.06,61.93,77.06,67.48,84.29,66.87,58.7,69.81,57.42,55.19,62.47,60.02
Quest Hunter,45.64,50.0,50.18,58.12,52.27,43.88,51.05,43.82,46.96,65.66,60.13,85.36,75.41,71.17,55.14,76.99,71.67,65.54,34.17,49.51,62.59,53.77,84.74,68.62,67.77,83.02,69.29,47.33,47.08,68.31
Control Warrior,64.14,49.81,50.0,33.68,54.8,44.35,44.49,33.1,52.67,51.81,50.47,54.83,43.06,65.0,50.3,49.97,58.14,57.97,41.61,54.83,53.52,69.5,69.27,54.66,41.97,53.71,54.07,59.36,51.25,76.4
Quest Warrior,34.91,41.87,66.31,50.0,48.25,61.7,48.86,53.65,61.02,57.45,57.71,74.95,73.12,54.92,70.86,85.96,70.93,53.53,70.17,47.19,56.09,53.5,84.05,70.96,78.27,80.7,77.14,54.41,65.16,46.15
Mech Mage,38.41,47.7,45.19,51.73,50.0,64.51,49.11,57.46,50.93,56.29,61.99,55.13,66.39,47.24,60.63,74.01,72.26,65.9,70.72,52.58,53.44,50.49,77.36,67.28,73.78,62.08,71.67,57.6,70.81,41.47
Ramp Druid,32.96,56.11,55.64,38.28,35.48,50.0,32.33,31.27,44.85,46.24,42.84,58.86,48.08,48.59,57.5,63.25,58.42,59.39,41.87,33.14,31.53,40.89,70.14,63.7,62.91,59.6,64.01,59.46,72.92,40.73
Amulet Mech Mage,36.32,48.94,55.5,51.13,50.88,67.66,50.0,61.66,56.75,56.8,61.38,57.28,68.4,48.25,67.99,75.88,74.91,67.21,77.6,51.72,51.29,49.47,77.31,68.62,79.41,63.05,74.53,58.39,76.11,39.31
Mech Paladin,34.17,56.16,66.89,46.31,42.53,68.72,38.33,50.0,59.07,58.47,58.92,64.47,65.72,54.08,69.25,73.21,70.43,71.54,72.26,45.34,51.79,52.45,76.06,65.32,74.15,64.11,73.9,65.2,84.36,36.99
Holy Paladin,56.39,53.03,47.32,38.95,49.05,55.14,43.24,40.92,50.0,58.29,55.5,52.67,63.06,63.27,52.99,61.58,63.33,62.65,54.99,59.11,61.7,68.02,75.66,61.73,55.07,63.05,66.23,62.14,58.6,63.81
Small Spell Mage,37.24,34.33,48.17,42.54,43.68,53.72,43.14,41.5,41.7,50.0,54.95,45.24,57.05,47.83,51.87,62.57,65.57,52.08,47.8,53.13,55.03,40.4,73.9,62.89,67.94,60.67,66.02,43.73,45.37,52.72
Pirate Rogue,24.97,39.85,49.52,42.28,38.0,57.15,38.61,41.07,44.49,45.04,50.0,49.4,64.51,38.16,51.52,78.01,55.97,50.79,65.96,42.82,55.35,43.42,63.57,65.94,66.66,52.04,64.31,40.92,56.11,37.06
Curse Warlock,37.82,14.62,45.16,24.88,44.86,41.13,42.71,35.52,47.32,54.68,50.59,50.0,49.73,63.32,59.03,63.64,61.05,47.15,47.35,51.51,47.82,44.69,68.17,63.73,55.8,61.22,62.25,35.88,26.04,59.31
Shellfish Priest,35.2,24.57,56.93,26.87,33.6,51.89,31.59,34.27,36.93,42.81,35.48,50.22,50.0,44.19,59.1,58.07,49.53,42.93,32.75,47.4,45.82,54.15,63.34,72.82,67.97,43.57,73.43,39.44,39.52,46.99
Burn Shaman,49.02,28.82,34.99,45.07,52.75,51.4,51.74,45.87,36.72,52.16,61.83,36.67,55.8,50.0,45.9,65.73,66.9,60.99,53.57,60.55,56.41,56.31,62.28,57.3,54.65,43.42,59.89,54.63,59.36,55.72
Dragon Paladin,50.71,44.85,49.67,29.13,39.36,42.49,32.0,30.74,47.0,48.06,48.47,40.96,40.81,54.09,50.0,55.14,52.99,54.71,46.58,45.84,50.98,61.04,71.17,56.96,46.45,53.64,57.27,56.94,51.42,58.54
Boar Priest,30.58,23.0,50.02,14.03,25.98,36.74,24.11,26.78,38.41,37.42,21.98,36.35,41.92,34.26,44.85,50.0,33.62,30.09,8.09,35.49,31.31,40.39,50.77,54.26,55.53,39.87,56.12,26.59,31.29,41.9
Thief Rogue,27.79,28.32,41.85,29.06,27.73,41.57,25.08,29.56,36.66,34.42,44.02,38.94,50.46,33.09,47.0,66.37,50.0,45.37,48.82,38.44,37.66,38.6,58.4,59.58,52.87,36.95,57.19,39.81,49.27,36.22
Beast Hunter,41.38,34.45,42.02,46.46,34.09,40.6,32.78,28.45,37.34,47.91,49.2,52.84,57.06,39.0,45.28,69.9,54.62,50.0,45.9,33.81,44.58,40.07,65.42,53.5,52.07,54.49,52.55,57.76,56.69,46.66
Anacondra Druid,30.91,65.82,58.38,29.82,29.27,58.12,22.39,27.73,45.0,52.19,34.03,52.64,67.24,46.42,53.41,91.9,51.17,54.09,50.0,27.34,19.66,29.67,68.48,66.9,68.95,55.89,64.56,54.16,80.53,33.76
Beast Druid,38.04,50.48,45.16,52.8,47.41,66.85,48.27,54.65,40.88,46.86,57.17,48.48,52.59,39.44,54.15,64.5,61.55,66.18,72.65,50.0,51.0,60.0,60.38,66.99,61.04,44.35,63.49,53.78,67.75,37.35
Murloc Warlock,22.93,37.4,46.47,43.86,46.55,68.46,48.7,48.2,38.29,44.96,44.64,52.08,54.17,43.58,49.01,68.68,62.33,55.41,80.33,49.0,50.0,50.51,68.0,67.13,67.56,44.57,65.63,38.25,67.85,27.58
Face Hunter,32.49,46.22,30.49,46.49,49.5,59.1,50.52,47.54,31.97,59.59,56.57,55.3,45.84,43.68,38.95,59.6,61.39,59.92,70.32,40.0,49.48,50.0,75.38,58.25,44.75,55.02,52.29,41.01,52.43,40.81
Other Mage,15.42,15.0,30.49,15.88,22.52,29.69,22.49,23.84,24.33,25.97,36.2,31.57,36.39,37.71,28.72,49.22,41.59,34.57,31.51,39.61,31.73,24.35,50.0,47.66,33.75,35.03,44.96,15.34,25.45,32.06
Other Priest,32.93,31.32,45.2,28.98,32.58,36.23,31.37,34.67,38.16,36.76,34.05,36.18,27.03,42.53,42.93,45.73,40.16,46.49,32.72,33.0,32.57,41.74,52.33,50.0,39.34,38.97,50.38,44.38,40.38,36.8
Quest Priest,41.29,32.22,58.02,21.72,26.21,37.08,20.58,25.84,44.92,32.05,33.33,44.19,32.02,45.34,53.54,44.46,47.12,47.92,31.04,38.95,32.43,55.24,66.24,60.48,50.0,50.85,66.41,39.75,41.34,49.3
Ping Mage,30.18,16.97,46.19,19.29,37.85,40.39,36.94,35.88,36.94,39.32,47.95,38.68,56.42,56.57,46.35,60.12,63.04,45.5,44.1,55.64,55.42,44.97,64.96,61.02,49.14,50.0,65.14,31.55,24.5,51.13
Control Priest,42.57,30.7,45.92,22.85,28.32,35.98,25.46,26.09,33.76,33.97,35.68,37.74,26.56,40.1,42.72,43.87,42.8,47.44,35.43,36.5,34.36,47.7,54.75,49.61,33.58,34.85,50.0,44.11,36.3,48.54
Fel Demon Hunter,44.74,52.66,40.63,45.58,42.39,40.53,41.5,34.79,37.85,56.26,59.07,64.11,60.55,45.36,43.05,73.4,60.18,42.23,45.83,46.21,61.74,58.99,84.65,55.62,60.24,68.45,55.89,50.0,43.31,60.63
Quest Druid,37.52,52.91,48.74,34.83,29.18,27.07,23.88,15.63,41.39,54.62,43.88,73.95,60.47,40.63,48.57,68.7,50.72,43.3,19.46,32.24,32.14,47.57,74.54,59.62,58.65,75.5,63.7,56.69,50.0,34.14
Token Demon Hunter,39.97,31.68,23.59,53.84,58.43,59.26,60.68,63.0,36.18,47.27,62.93,40.56,52.84,44.27,41.45,58.09,63.77,53.33,66.23,62.64,72.41,59.19,67.55,63.2,50.69,48.87,51.46,39.37,65.86,50.0
