deck,Undead Priest,Unholy Death Knight,Pure Paladin,Blood Death Knight,Frost Death Knight,Other Rogue,Control Priest,Burn Mage,Thaddius Warlock,Spooky Mage,Totem Shaman,Big Beast Hunter,Rainbow Death Knight,Face Hunter,Silver Hand Paladin,Riff 'n' Roll Warrior,Enrage Warrior,Thief Priest,Big Demon Hunter,Other Mage,Curse Warlock,Fatigue Imp Warlock,Other Death Knight,Other Priest,Mech Paladin,Zok Druid,Curse Imp Warlock,Miracle Rogue,Mech Mage,Dagger Rogue,Other Warrior,Other Warlock,Other Druid,Casino Mage,Relic Demon Hunter,Secret Rogue,Lightshow Mage
Undead Priest,50.0,64.85,43.58,56.25,48.11,73.35,62.89,65.46,55.83,62.47,47.25,70.76,88.84,46.66,59.3,68.52,63.26,59.87,59.53,87.29,66.66,62.14,82.18,73.9,40.0,62.77,64.4,68.54,52.82,61.65,74.01,79.93,80.86,74.22,56.68,70.77,76.38
Unholy Death Knight,35.14,50.0,43.24,36.49,31.03,55.01,40.61,45.76,44.19,41.43,37.97,59.06,81.3,37.96,54.19,51.73,42.88,39.12,44.94,72.02,45.83,46.16,62.36,54.08,40.23,68.47,48.72,43.23,44.92,54.69,62.35,59.16,70.93,60.42,40.81,51.61,57.97
Pure Paladin,56.41,56.75,50.0,52.96,44.93,75.08,66.73,57.41,66.21,54.94,50.03,75.88,89.13,48.29,65.55,81.1,62.74,57.83,61.32,89.04,71.35,63.42,87.56,71.72,67.67,87.3,68.43,57.47,56.09,58.93,87.39,82.2,86.83,76.93,55.18,69.76,75.15
Blood Death Knight,43.74,63.5,47.03,50.0,51.93,63.07,47.91,56.87,45.17,53.58,46.55,61.36,85.6,55.61,63.95,55.08,49.49,44.38,46.18,81.57,55.07,45.55,73.85,62.92,51.12,51.82,48.25,58.21,59.84,64.56,75.61,71.49,68.29,71.53,46.67,51.31,64.09
Frost Death Knight,51.88,68.96,55.03,48.06,50.0,75.12,59.71,62.73,47.65,62.27,58.33,68.43,88.14,47.85,68.64,57.79,49.45,60.21,49.93,82.26,64.14,70.05,78.81,66.42,51.42,63.57,67.14,68.34,62.67,60.76,71.45,82.46,74.38,76.01,53.39,69.84,79.95
Other Rogue,26.59,44.93,24.91,36.92,24.81,50.0,43.86,35.94,39.0,35.43,33.83,46.69,75.71,27.46,45.49,45.37,40.79,43.02,35.83,73.85,43.94,36.41,73.67,59.57,33.15,43.16,33.41,43.92,44.53,44.28,70.22,60.03,65.57,56.82,33.73,39.27,49.67
Control Priest,37.1,59.38,33.26,52.08,40.28,56.13,50.0,47.54,49.07,47.02,50.07,49.06,82.43,47.25,52.93,52.89,51.56,41.35,41.3,73.11,43.25,42.54,76.31,62.17,42.6,39.94,44.77,50.27,49.39,50.62,70.13,70.66,64.19,56.19,43.11,42.18,48.16
Burn Mage,34.48,54.23,42.58,43.12,37.26,64.05,52.45,50.0,45.79,50.37,40.1,57.39,81.27,33.46,61.72,45.13,33.4,52.24,48.71,81.07,60.47,47.46,71.77,61.0,33.99,46.62,51.11,52.3,41.86,50.78,64.84,71.54,67.66,73.56,54.58,52.72,63.47
Thaddius Warlock,44.04,55.8,33.71,54.82,52.34,60.99,50.92,54.2,50.0,60.26,35.1,60.15,81.71,41.81,51.84,53.5,56.52,51.73,58.98,74.0,66.18,51.13,72.11,62.28,38.94,56.44,60.54,52.08,47.65,50.9,70.72,73.3,66.66,56.91,56.55,51.47,58.84
Spooky Mage,37.22,58.49,44.97,46.25,37.72,64.56,52.97,49.44,39.73,50.0,40.76,55.73,83.24,39.7,64.0,37.46,29.48,57.98,47.47,82.46,50.0,43.64,76.32,65.73,43.92,46.69,47.9,53.64,41.03,55.6,59.02,72.17,64.54,73.57,44.16,46.49,56.11
