deck,playrate
Plague Death Knight,0.10478413253062784
Spell Mage,0.09530375110512361
Highlander Warrior,0.07799277985938623
Handbuff Paladin,0.06500231549698986
Secret Hunter,0.049527954363659324
Highlander Priest,0.04855176188270959
Flood Paladin,0.04747295078516395
Mining Rogue,0.044078642697764514
Handbuff Death Knight,0.041073759104113226
Control Warrior,0.037553151180903514
Other Mage,0.03716372668715526
Other Priest,0.03356155011998484
Other Paladin,0.03210120826842923
Spell Token Hunter,0.03154864648675955
Highlander Shaman,0.03089609733507342
Other Warlock,0.030514566581063458
Other Death Knight,0.030351429293141927
Other Warrior,0.029030543510293393
Wishing Rogue,0.02812013219382811
Other Rogue,0.02791752620721595
Unholy Death Knight,0.026988696164694924
Other Druid,0.026088809834547186
Rainbow Death Knight,0.024375868311371143
