deck,Plague Death Knight,Spell Mage,Highlander Warrior,Handbuff Paladin,Secret Hunter,Highlander Priest,Flood Paladin,Mining Rogue,Handbuff Death Knight,Control Warrior,Other Mage,Other Priest,Other Paladin,Spell Token Hunter,Highlander Shaman,Other Warlock,Other Death Knight,Other Warrior,Wishing Rogue,Other Rogue,Unholy Death Knight,Other Druid,Rainbow Death Knight
Plague Death Knight,50.0,43.54,50.63,39.67,35.08,44.27,43.65,60.65,50.55,61.67,82.36,75.11,79.2,39.38,55.17,69.0,60.02,77.59,62.87,67.21,66.51,77.28,49.18
Spell Mage,56.4,50.0,45.75,42.82,34.31,65.31,44.62,57.99,52.03,52.69,81.52,80.01,75.71,41.78,58.92,70.51,67.67,69.57,64.87,73.79,60.88,76.46,56.02
Highlander Warrior,49.36,54.11,50.0,48.22,38.31,52.9,46.05,67.05,52.63,64.12,87.59,81.07,75.54,42.18,68.03,73.69,72.58,76.86,68.9,74.04,66.74,84.6,51.97
Handbuff Paladin,60.32,57.17,51.77,50.0,59.1,50.16,32.46,58.45,58.02,64.89,86.43,76.39,72.2,45.15,56.16,73.07,59.66,76.54,67.22,72.51,70.35,81.39,56.13
Secret Hunter,64.91,65.68,61.68,40.89,50.0,68.53,40.88,62.06,51.19,69.94,82.56,70.64,69.03,42.66,50.67,61.07,72.81,71.42,69.23,76.11,54.92,76.38,61.81
Highlander Priest,55.72,34.57,47.09,49.83,31.46,50.0,32.43,53.69,65.38,48.21,78.12,66.79,68.9,36.62,61.15,62.0,60.32,72.61,55.1,71.72,62.14,77.83,45.85
Flood Paladin,56.34,55.37,53.94,67.53,59.11,67.56,50.0,61.32,69.35,63.43,88.22,77.01,85.78,68.13,57.81,76.59,73.74,80.35,67.12,82.38,80.17,88.31,51.9
Mining Rogue,39.34,42.0,32.94,41.54,37.93,46.3,38.67,50.0,39.39,45.33,78.78,74.38,74.8,42.89,45.07,64.36,50.37,70.11,55.21,64.37,61.05,74.23,43.92
Handbuff Death Knight,49.44,47.96,47.36,41.97,48.8,34.61,30.64,60.6,50.0,58.94,77.69,69.89,69.02,39.06,52.73,64.82,59.0,73.14,58.67,70.27,60.37,75.96,53.33
Control Warrior,38.16,47.2,35.87,35.1,30.05,51.78,36.56,54.66,41.05,50.0,77.37,77.86,66.66,33.03,51.14,63.63,50.1,65.02,54.08,63.8,60.5,69.06,35.54
Other Mage,17.63,18.18,12.4,13.56,17.43,21.87,11.77,20.87,22.3,22.41,50.0,44.46,37.52,13.26,17.46,38.03,21.72,37.76,18.83,39.17,22.89,49.66,21.71
Other Priest,24.81,19.68,18.92,23.6,29.35,33.2,22.85,25.61,30.1,22.13,55.53,50.0,45.04,22.57,26.62,41.93,30.18,39.03,25.98,39.73,30.65,63.6,23.37
Other Paladin,20.79,24.28,24.45,27.79,30.96,31.09,14.21,25.19,30.97,33.08,62.47,54.72,50.0,23.83,23.18,43.09,31.45,49.64,31.84,49.23,38.1,61.85,19.79
Spell Token Hunter,60.61,58.21,57.81,54.84,57.33,63.37,31.86,57.1,60.93,66.96,86.73,77.42,76.16,50.0,53.87,70.47,71.46,75.91,64.02,78.17,68.97,80.67,58.29
Highlander Shaman,44.82,40.98,31.96,43.83,49.32,38.84,42.18,54.92,47.26,48.85,82.27,73.37,76.53,46.12,50.0,67.28,52.15,73.9,58.66,67.18,65.01,76.84,41.32
Other Warlock,30.83,29.48,26.16,26.92,38.92,37.6,23.4,35.63,35.17,36.36,61.96,58.06,56.65,29.52,32.71,50.0,44.68,54.94,33.22,46.43,45.23,64.43,32.21
Other Death Knight,39.97,31.96,27.41,40.0,27.18,39.67,25.95,49.62,40.99,49.89,78.27,69.81,68.54,28.53,47.59,55.08,50.0,69.5,50.0,58.45,53.61,78.84,36.06
Other Warrior,22.4,30.42,23.13,23.45,28.25,27.38,19.64,29.88,26.85,34.97,61.99,60.96,50.35,24.08,26.09,45.05,30.08,50.0,35.57,43.47,40.52,64.3,23.52
Wishing Rogue,37.12,35.0,31.09,32.77,30.76,44.38,32.87,44.78,41.32,45.91,81.16,74.01,68.15,35.97,41.33,66.77,50.0,64.42,50.0,64.77,54.54,73.28,37.05
Other Rogue,32.78,26.09,25.95,27.48,23.88,28.27,17.61,35.62,29.72,36.19,60.82,60.26,50.51,21.57,32.81,53.56,41.54,56.52,35.22,50.0,34.32,66.47,31.03
Unholy Death Knight,33.48,39.11,33.25,29.64,44.6,37.85,19.82,38.94,39.62,39.49,77.1,69.05,61.89,31.02,34.98,54.46,46.38,59.47,45.45,65.67,50.0,72.81,33.62
Other Druid,22.71,23.4,15.39,18.6,23.61,22.16,11.68,25.76,24.03,30.93,50.33,36.39,38.14,19.32,22.81,35.56,21.15,35.69,26.33,33.52,27.18,50.0,19.88
Rainbow Death Knight,50.81,43.87,48.02,43.86,38.18,54.14,48.09,56.07,46.66,64.45,78.28,76.62,80.2,41.7,58.67,67.78,63.93,76.47,62.94,68.96,66.37,80.11,50.0
